scenarioId,mode,repetitionIndex,status,bestFitness,hardViolations,softPenalty,generationsRun,stagnatedEarly,firstFeasibleGeneration,preGADurationMs,ssaDurationMs,gaDurationMs,totalDurationMs,ssaWouldHavePrunedCoordinates,ssaWouldHaveDeclaredInfeasible
borderline-ac3-prunes,without-ssa,7,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,4494,4494,17,false
borderline-ac3-prunes,without-ssa,8,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,4437,4437,17,false
borderline-ac3-prunes,without-ssa,9,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,4525,4525,17,false
borderline-ac3-prunes,without-ssa,10,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,4671,4671,17,false
borderline-ac3-prunes,without-ssa,11,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,4471,4471,17,false
borderline-ac3-prunes,without-ssa,12,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,4459,4459,17,false
borderline-ac3-prunes,without-ssa,13,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,4528,4528,17,false
borderline-ac3-prunes,without-ssa,14,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,4590,4590,17,false
borderline-ac3-prunes,without-ssa,15,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,4664,4664,17,false
borderline-ac3-prunes,without-ssa,16,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,4627,4627,17,false
borderline-ac3-prunes,without-ssa,17,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,4608,4608,17,false
borderline-ac3-prunes,without-ssa,18,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,4548,4548,17,false
borderline-ac3-prunes,without-ssa,19,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,4476,4476,17,false
borderline-ac3-prunes,without-ssa,20,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,4546,4546,17,false
borderline-ac3-prunes,without-ssa,21,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,4632,4632,17,false
borderline-ac3-prunes,without-ssa,22,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,4662,4662,17,false
borderline-ac3-prunes,without-ssa,23,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,4545,4545,17,false
borderline-ac3-prunes,without-ssa,24,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,4488,4488,17,false
borderline-ac3-prunes,without-ssa,25,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,4548,4548,17,false
borderline-ac3-prunes,without-ssa,26,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,4606,4606,17,false
borderline-ac3-prunes,without-ssa,27,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,4490,4490,17,false
borderline-ac3-prunes,without-ssa,28,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,4561,4561,17,false
borderline-ac3-prunes,without-ssa,29,SUCCESS,0.06666666666666667,0,14,200,false,1,0,0,4484,4484,17,false
structurally-infeasible,with-ssa,0,INFEASIBLE,,,,,,,0,2,0,2,6,true
structurally-infeasible,with-ssa,1,INFEASIBLE,,,,,,,0,2,0,2,6,true
structurally-infeasible,with-ssa,2,INFEASIBLE,,,,,,,0,2,0,2,6,true
structurally-infeasible,with-ssa,3,INFEASIBLE,,,,,,,0,1,0,2,6,true
structurally-infeasible,with-ssa,4,INFEASIBLE,,,,,,,0,1,0,2,6,true
structurally-infeasible,with-ssa,5,INFEASIBLE,,,,,,,0,1,0,2,6,true
